filename,augmentation,level,achieved_snr_db
051aadb7-51aad566.jpg,low_light,9,0.19
051aadb7-51aad566.jpg,rain,1,21.29
051aadb7-51aad566.jpg,rain,2,16.94
051aadb7-51aad566.jpg,rain,3,13.41
051aadb7-51aad566.jpg,rain,4,11.22
051aadb7-51aad566.jpg,rain,5,9.61
051aadb7-51aad566.jpg,rain,6,8.42
051aadb7-51aad566.jpg,rain,7,7.48
051aadb7-51aad566.jpg,rain,8,6.72
051aadb7-51aad566.jpg,rain,9,6.06
051aadb7-e953bc4d.jpg,motion_blur,1,30.77
051aadb7-e953bc4d.jpg,motion_blur,2,25.68
051aadb7-e953bc4d.jpg,motion_blur,3,23.63
051aadb7-e953bc4d.jpg,motion_blur,4,22.5
051aadb7-e953bc4d.jpg,motion_blur,5,21.66
051aadb7-e953bc4d.jpg,motion_blur,6,21.0
051aadb7-e953bc4d.jpg,motion_blur,7,20.5
051aadb7-e953bc4d.jpg,motion_blur,8,20.1
051aadb7-e953bc4d.jpg,motion_blur,9,19.78
051aadb7-e953bc4d.jpg,low_light,1,9.62
051aadb7-e953bc4d.jpg,low_light,2,7.35
051aadb7-e953bc4d.jpg,low_light,3,5.52
051aadb7-e953bc4d.jpg,low_light,4,4.08
051aadb7-e953bc4d.jpg,low_light,5,2.92
051aadb7-e953bc4d.jpg,low_light,6,1.97
051aadb7-e953bc4d.jpg,low_light,7,1.21
051aadb7-e953bc4d.jpg,low_light,8,0.62
051aadb7-e953bc4d.jpg,low_light,9,0.19
051aadb7-e953bc4d.jpg,rain,1,19.89
051aadb7-e953bc4d.jpg,rain,2,13.49
051aadb7-e953bc4d.jpg,rain,3,9.97
051aadb7-e953bc4d.jpg,rain,4,7.78
051aadb7-e953bc4d.jpg,rain,5,6.16
051aadb7-e953bc4d.jpg,rain,6,4.94
051aadb7-e953bc4d.jpg,rain,7,3.96
051aadb7-e953bc4d.jpg,rain,8,3.15
051aadb7-e953bc4d.jpg,rain,9,2.45
05743a9b-747658e7.jpg,motion_blur,1,37.29
05743a9b-747658e7.jpg,motion_blur,2,32.21
05743a9b-747658e7.jpg,motion_blur,3,29.84
05743a9b-747658e7.jpg,motion_blur,4,28.39
05743a9b-747658e7.jpg,motion_blur,5,27.32
05743a9b-747658e7.jpg,motion_blur,6,26.48
05743a9b-747658e7.jpg,motion_blur,7,25.81
05743a9b-747658e7.jpg,motion_blur,8,25.26
05743a9b-747658e7.jpg,motion_blur,9,24.8
05743a9b-747658e7.jpg,low_light,1,10.48
05743a9b-747658e7.jpg,low_light,2,7.79
05743a9b-747658e7.jpg,low_light,3,5.78
05743a9b-747658e7.jpg,low_light,4,4.24
05743a9b-747658e7.jpg,low_light,5,3.02
05743a9b-747658e7.jpg,low_light,6,2.03
05743a9b-747658e7.jpg,low_light,7,1.25
05743a9b-747658e7.jpg,low_light,8,0.64
05743a9b-747658e7.jpg,low_light,9,0.2
05743a9b-747658e7.jpg,rain,1,23.1
05743a9b-747658e7.jpg,rain,2,19.13
05743a9b-747658e7.jpg,rain,3,14.99
05743a9b-747658e7.jpg,rain,4,12.56
05743a9b-747658e7.jpg,rain,5,10.82
05743a9b-747658e7.jpg,rain,6,9.57
05743a9b-747658e7.jpg,rain,7,8.6
05743a9b-747658e7.jpg,rain,8,7.83
05743a9b-747658e7.jpg,rain,9,7.18
057af272-6f700aef.jpg,motion_blur,1,37.07
057af272-6f700aef.jpg,motion_blur,2,32.41
057af272-6f700aef.jpg,motion_blur,3,30.21
057af272-6f700aef.jpg,motion_blur,4,28.84
057af272-6f700aef.jpg,motion_blur,5,27.83
057af272-6f700aef.jpg,motion_blur,6,27.07
057af272-6f700aef.jpg,motion_blur,7,26.46
057af272-6f700aef.jpg,motion_blur,8,25.94
057af272-6f700aef.jpg,motion_blur,9,25.51
057af272-6f700aef.jpg,low_light,1,9.9
057af272-6f700aef.jpg,low_light,2,7.5
057af272-6f700aef.jpg,low_light,3,5.61
057af272-6f700aef.jpg,low_light,4,4.13
057af272-6f700aef.jpg,low_light,5,2.96
057af272-6f700aef.jpg,low_light,6,1.99
057af272-6f700aef.jpg,low_light,7,1.22
057af272-6f700aef.jpg,low_light,8,0.63
057af272-6f700aef.jpg,low_light,9,0.19
057af272-6f700aef.jpg,rain,1,23.03
057af272-6f700aef.jpg,rain,2,17.22
057af272-6f700aef.jpg,rain,3,12.95
057af272-6f700aef.jpg,rain,4,10.48
057af272-6f700aef.jpg,rain,5,8.7
057af272-6f700aef.jpg,rain,6,7.4
057af272-6f700aef.jpg,rain,7,6.37
057af272-6f700aef.jpg,rain,8,5.53
057af272-6f700aef.jpg,rain,9,4.8
05d62296-30c620d5.jpg,motion_blur,1,32.21
05d62296-30c620d5.jpg,motion_blur,2,27.74
05d62296-30c620d5.jpg,motion_blur,3,25.62
05d62296-30c620d5.jpg,motion_blur,4,24.39
05d62296-30c620d5.jpg,motion_blur,5,23.56
05d62296-30c620d5.jpg,motion_blur,6,22.89
05d62296-30c620d5.jpg,motion_blur,7,22.3
05d62296-30c620d5.jpg,motion_blur,8,21.8
05d62296-30c620d5.jpg,motion_blur,9,21.37
05d62296-30c620d5.jpg,low_light,1,9.97
05d62296-30c620d5.jpg,low_light,2,7.54
05d62296-30c620d5.jpg,low_light,3,5.64
05d62296-30c620d5.jpg,low_light,4,4.15
05d62296-30c620d5.jpg,low_light,5,2.97
05d62296-30c620d5.jpg,low_light,6,2.0
05d62296-30c620d5.jpg,low_light,7,1.23
05d62296-30c620d5.jpg,low_light,8,0.63
05d62296-30c620d5.jpg,low_light,9,0.19
05d62296-30c620d5.jpg,rain,1,23.08
05d62296-30c620d5.jpg,rain,2,17.38
05d62296-30c620d5.jpg,rain,3,12.97
05d62296-30c620d5.jpg,rain,4,10.44
05d62296-30c620d5.jpg,rain,5,8.62
05d62296-30c620d5.jpg,rain,6,7.33
05d62296-30c620d5.jpg,rain,7,6.28
05d62296-30c620d5.jpg,rain,8,5.47
05d62296-30c620d5.jpg,rain,9,4.73
05e5a68e-f0e05a42.jpg,motion_blur,1,30.63
05e5a68e-f0e05a42.jpg,motion_blur,2,25.93
05e5a68e-f0e05a42.jpg,motion_blur,3,24.11
05e5a68e-f0e05a42.jpg,motion_blur,4,23.14
05e5a68e-f0e05a42.jpg,motion_blur,5,22.43
05e5a68e-f0e05a42.jpg,motion_blur,6,21.86
05e5a68e-f0e05a42.jpg,motion_blur,7,21.38
05e5a68e-f0e05a42.jpg,motion_blur,8,20.98
05e5a68e-f0e05a42.jpg,motion_blur,9,20.61
05e5a68e-f0e05a42.jpg,low_light,1,9.69
05e5a68e-f0e05a42.jpg,low_light,2,7.3
05e5a68e-f0e05a42.jpg,low_light,3,5.46
05e5a68e-f0e05a42.jpg,low_light,4,4.02
05e5a68e-f0e05a42.jpg,low_light,5,2.88
05e5a68e-f0e05a42.jpg,low_light,6,1.94
05e5a68e-f0e05a42.jpg,low_light,7,1.19
05e5a68e-f0e05a42.jpg,low_light,8,0.61
05e5a68e-f0e05a42.jpg,low_light,9,0.18
05e5a68e-f0e05a42.jpg,rain,1,17.98
05e5a68e-f0e05a42.jpg,rain,2,14.16
05e5a68e-f0e05a42.jpg,rain,3,11.12
05e5a68e-f0e05a42.jpg,rain,4,9.07
05e5a68e-f0e05a42.jpg,rain,5,7.55
05e5a68e-f0e05a42.jpg,rain,6,6.38
05e5a68e-f0e05a42.jpg,rain,7,5.45
05e5a68e-f0e05a42.jpg,rain,8,4.69
05e5a68e-f0e05a42.jpg,rain,9,4.04
05fa6494-8f436d04.jpg,motion_blur,1,31.08
05fa6494-8f436d04.jpg,motion_blur,2,26.56
05fa6494-8f436d04.jpg,motion_blur,3,24.49
05fa6494-8f436d04.jpg,motion_blur,4,23.31
05fa6494-8f436d04.jpg,motion_blur,5,22.51
05fa6494-8f436d04.jpg,motion_blur,6,21.89
05fa6494-8f436d04.jpg,motion_blur,7,21.37
05fa6494-8f436d04.jpg,motion_blur,8,20.91
05fa6494-8f436d04.jpg,motion_blur,9,20.52
05fa6494-8f436d04.jpg,low_light,1,9.21
05fa6494-8f436d04.jpg,low_light,2,7.02
05fa6494-8f436d04.jpg,low_light,3,5.28
05fa6494-8f436d04.jpg,low_light,4,3.9
05fa6494-8f436d04.jpg,low_light,5,2.8
05fa6494-8f436d04.jpg,low_light,6,1.89
05fa6494-8f436d04.jpg,low_light,7,1.16
05fa6494-8f436d04.jpg,low_light,8,0.59
05fa6494-8f436d04.jpg,low_light,9,0.18
05fa6494-8f436d04.jpg,rain,1,23.35
05fa6494-8f436d04.jpg,rain,2,17.54
05fa6494-8f436d04.jpg,rain,3,13.03
05fa6494-8f436d04.jpg,rain,4,10.4
05fa6494-8f436d04.jpg,rain,5,8.51
05fa6494-8f436d04.jpg,rain,6,7.14
05fa6494-8f436d04.jpg,rain,7,6.07
05fa6494-8f436d04.jpg,rain,8,5.22
05fa6494-8f436d04.jpg,rain,9,4.5
060039d9-5218402b.jpg,motion_blur,1,32.67
060039d9-5218402b.jpg,motion_blur,2,27.55
060039d9-5218402b.jpg,motion_blur,3,24.96
060039d9-5218402b.jpg,motion_blur,4,23.35
060039d9-5218402b.jpg,motion_blur,5,22.18
060039d9-5218402b.jpg,motion_blur,6,21.26
060039d9-5218402b.jpg,motion_blur,7,20.49
060039d9-5218402b.jpg,motion_blur,8,19.84
060039d9-5218402b.jpg,motion_blur,9,19.27
060039d9-5218402b.jpg,low_light,1,9.76
060039d9-5218402b.jpg,low_light,2,7.4
060039d9-5218402b.jpg,low_light,3,5.54
060039d9-5218402b.jpg,low_light,4,4.09
060039d9-5218402b.jpg,low_light,5,2.93
060039d9-5218402b.jpg,low_light,6,1.97
060039d9-5218402b.jpg,low_light,7,1.21
060039d9-5218402b.jpg,low_light,8,0.62
060039d9-5218402b.jpg,low_light,9,0.19
060039d9-5218402b.jpg,rain,1,23.04
