img1,img2,method,n_keypoints_img1,n_keypoints_img2,n_good_matches,n_inliers,inlier_ratio,match_ratio,avg_match_distance,detect_time_sec,match_time_sec,visualization_path,augmentation,level,snr_db,match_ratio_vs_baseline
00e9be89-00001755.jpg,00e9be89-00001760.jpg,orb,2000,2000,28,15,0.5357,0.014,36.3571,0.1949,0.0544,,motion_blur,1,34.011232024563405,0.014
00e9be89-00001760.jpg,00e9be89-00001765.jpg,orb,2000,2000,20,10,0.5,0.01,37.65,0.1165,0.0366,,motion_blur,1,32.23337829906355,0.01
00e9be89-00001765.jpg,00e9be89-00001770.jpg,orb,2000,2000,31,12,0.3871,0.0155,31.7742,0.0788,0.0267,,motion_blur,1,32.5544037025266,0.0155
00e9be89-00001770.jpg,00e9be89-00001775.jpg,orb,2000,2000,54,31,0.5741,0.027,34.1296,0.1746,0.0277,,motion_blur,1,32.701598925202894,0.027
00e9be89-00001775.jpg,00e9be89-00001780.jpg,orb,2000,2000,41,28,0.6829,0.0205,32.6341,0.1204,0.0471,,motion_blur,1,32.55029111119911,0.0205
00e9be89-00001780.jpg,00e9be89-00001785.jpg,orb,2000,2000,38,26,0.6842,0.019,36.0526,0.168,0.041,,motion_blur,1,33.69758762859739,0.019
00e9be89-00001785.jpg,00e9be89-00001795.jpg,orb,2000,2000,28,17,0.6071,0.014,35.8929,0.1065,0.0497,,motion_blur,1,35.14073606457234,0.014
00e9be89-00001795.jpg,00e9be89-00001800.jpg,orb,2000,2000,922,897,0.9729,0.461,20.359,0.093,0.053,,motion_blur,1,35.478073719013125,0.461
00e9be89-00001800.jpg,00e9be89-00001810.jpg,orb,2000,2000,287,114,0.3972,0.1435,30.6132,0.1188,0.0304,,motion_blur,1,35.437392287440545,0.1435
00e9be89-00001810.jpg,00e9be89-00001815.jpg,orb,2000,2000,208,61,0.2933,0.104,30.9712,0.0981,0.023,,motion_blur,1,35.010799359187445,0.104
00e9be89-00001815.jpg,00e9be89-00001820.jpg,orb,2000,2000,54,19,0.3519,0.027,36.7222,0.0859,0.0464,,motion_blur,1,35.125249168075655,0.027
00e9be89-00001820.jpg,00e9be89-00001825.jpg,orb,2000,2000,71,22,0.3099,0.0355,35.3239,0.0696,0.0245,,motion_blur,1,35.00393980065833,0.0355
00e9be89-00001825.jpg,00e9be89-00001830.jpg,orb,2000,2000,40,15,0.375,0.02,37.8,0.1032,0.0448,,motion_blur,1,33.70191094668637,0.02
00e9be89-00001830.jpg,00e9be89-00001840.jpg,orb,2000,2000,30,7,0.2333,0.015,41.1,0.0526,0.0225,,motion_blur,1,32.35831233547505,0.015
00e9be89-00001840.jpg,00e9be89-00001845.jpg,orb,2000,2000,1193,1179,0.9883,0.5965,16.6957,0.0799,0.0528,,motion_blur,1,31.78541398475952,0.5965
00e9be89-00001845.jpg,00e9be89-00001865.jpg,orb,2000,2000,1014,1001,0.9872,0.507,19.1351,0.1061,0.0315,,motion_blur,1,31.72355488466546,0.507
00e9be89-00001865.jpg,00e9be89-00001870.jpg,orb,2000,2000,1070,1050,0.9813,0.535,19.5393,0.0575,0.0208,,motion_blur,1,31.856494549589115,0.535
00e9be89-00001870.jpg,00e9be89-00001875.jpg,orb,2000,2000,1092,1079,0.9881,0.546,15.8297,0.0553,0.0474,,motion_blur,1,31.880099650249477,0.546
00e9be89-00001875.jpg,00e9be89-00001885.jpg,orb,2000,2000,1060,1047,0.9877,0.53,17.5481,0.1518,0.0594,,motion_blur,1,31.84184635231632,0.53
00e9be89-00001885.jpg,00e9be89-00001890.jpg,orb,2000,2000,1157,1138,0.9836,0.5785,16.9265,0.1032,0.0271,,motion_blur,1,31.755609675106165,0.5785
00e9be89-00001890.jpg,00e9be89-00001895.jpg,orb,2000,2000,1101,1090,0.99,0.5505,15.8392,0.0826,0.0306,,motion_blur,1,31.728412769230385,0.5505
00e9be89-00001895.jpg,00e9be89-00001900.jpg,orb,2000,2000,1126,1107,0.9831,0.563,17.23,0.0873,0.0333,,motion_blur,1,31.77838164795011,0.563
00e9be89-00001900.jpg,00e9be89-00001905.jpg,orb,2000,2000,341,207,0.607,0.1705,27.6158,0.0764,0.0327,,motion_blur,1,32.0698024300244,0.1705
00e9be89-00001905.jpg,00e9be89-00001915.jpg,orb,2000,2000,49,19,0.3878,0.0245,34.5102,0.0695,0.0318,,motion_blur,1,33.29792831712489,0.0245
00e9be89-00000015.jpg,00e9be89-00000100.jpg,orb,2000,2000,5,5,1.0,0.0025,40.4,0.0963,0.0383,C:\Users\amit\Project_digital_image_processing__Amit_Alon\outputs\visualizations\task2\degraded_visualizations\motion_blur\level_2\match_00e9be89-00000015__00e9be89-00000100.png,motion_blur,2,23.89675292257029,0.0025
00e9be89-00000100.jpg,00e9be89-00000105.jpg,orb,2000,2000,1019,1006,0.9872,0.5095,22.2885,0.1202,0.0345,,motion_blur,2,27.267119268352065,0.5095
00e9be89-00000105.jpg,00e9be89-00000110.jpg,orb,2000,2000,1055,1041,0.9867,0.5275,20.0199,0.0847,0.0336,,motion_blur,2,26.74770149065137,0.5275
00e9be89-00000110.jpg,00e9be89-00000115.jpg,orb,2000,2000,1094,1087,0.9936,0.547,20.5887,0.0848,0.0386,,motion_blur,2,26.882946244134573,0.547
00e9be89-00000115.jpg,00e9be89-00000120.jpg,orb,2000,2000,1264,1262,0.9984,0.632,17.6226,0.0897,0.0338,,motion_blur,2,26.982335491237585,0.632
00e9be89-00000120.jpg,00e9be89-00000125.jpg,orb,2000,2000,754,744,0.9867,0.377,27.2984,0.0829,0.0303,,motion_blur,2,27.054998447976843,0.377
00e9be89-00000125.jpg,00e9be89-00000130.jpg,orb,2000,2000,849,840,0.9894,0.4245,21.4452,0.0793,0.0316,,motion_blur,2,26.837667241401057,0.4245
00e9be89-00000130.jpg,00e9be89-00000135.jpg,orb,2000,2000,1000,992,0.992,0.5,21.227,0.081,0.0349,,motion_blur,2,27.093125499202475,0.5
00e9be89-00000135.jpg,00e9be89-00000140.jpg,orb,2000,2000,1086,1072,0.9871,0.543,21.3932,0.086,0.032,,motion_blur,2,27.10107873820973,0.543
00e9be89-00000140.jpg,00e9be89-00000145.jpg,orb,2000,2000,266,211,0.7932,0.133,32.4474,0.0816,0.0321,,motion_blur,2,27.69547611417782,0.133
00e9be89-00000145.jpg,00e9be89-00000150.jpg,orb,2000,2000,18,5,0.2778,0.009,45.2222,0.0852,0.0299,,motion_blur,2,25.532264268418505,0.009
00e9be89-00000150.jpg,00e9be89-00000160.jpg,orb,2000,2000,10,4,0.4,0.005,42.3,0.0842,0.0313,,motion_blur,2,24.00033417406632,0.005
00e9be89-00000160.jpg,00e9be89-00000165.jpg,orb,2000,2000,9,5,0.5556,0.0045,41.2222,0.081,0.0342,,motion_blur,2,25.113354408654843,0.0045
00e9be89-00000165.jpg,00e9be89-00000175.jpg,orb,2000,2000,10,4,0.4,0.005,39.1,0.0982,0.0426,,motion_blur,2,25.63988746043437,0.005
00e9be89-00000175.jpg,00e9be89-00000190.jpg,orb,2000,2000,7,4,0.5714,0.0035,45.5714,0.1058,0.0367,,motion_blur,2,26.444131884836125,0.0035
00e9be89-00000190.jpg,00e9be89-00001000.jpg,orb,2000,2000,8,4,0.5,0.004,44.875,0.0851,0.0388,,motion_blur,2,30.4099143481085,0.004
00e9be89-00001000.jpg,00e9be89-00001005.jpg,orb,2000,1888,16,4,0.25,0.0085,44.375,0.0597,0.0364,,motion_blur,2,36.91501050576832,0.008
00e9be89-00001005.jpg,00e9be89-00001010.jpg,orb,1888,2000,16,5,0.3125,0.0085,38.1875,0.0657,0.0332,,motion_blur,2,37.33407268959289,0.008
00e9be89-00001010.jpg,00e9be89-00001015.jpg,orb,2000,1984,22,9,0.4091,0.0111,40.2273,0.0591,0.0307,,motion_blur,2,36.31687619591323,0.01104417670682731
00e9be89-00001015.jpg,00e9be89-00001020.jpg,orb,1984,2000,27,9,0.3333,0.0136,42.5926,0.0546,0.0324,,motion_blur,2,34.73997570720205,0.01355421686746988
00e9be89-00001020.jpg,00e9be89-00001025.jpg,orb,2000,2000,25,11,0.44,0.0125,36.88,0.0577,0.042,,motion_blur,2,33.8539098843866,0.0125
00e9be89-00001025.jpg,00e9be89-00001030.jpg,orb,2000,2000,45,19,0.4222,0.0225,38.5556,0.0586,0.0321,,motion_blur,2,35.02399276659866,0.0225
00e9be89-00001030.jpg,00e9be89-00001035.jpg,orb,2000,2000,76,42,0.5526,0.038,35.1316,0.0713,0.0325,,motion_blur,2,34.97266493061558,0.038
00e9be89-00001035.jpg,00e9be89-00001040.jpg,orb,2000,1989,110,80,0.7273,0.0553,34.7273,0.0606,0.0308,,motion_blur,2,36.21641782493941,0.055
00e9be89-00001040.jpg,00e9be89-00001045.jpg,orb,1989,2000,197,98,0.4975,0.099,33.9898,0.0709,0.0502,,motion_blur,2,36.25393047543031,0.0985
00e9be89-00001045.jpg,00e9be89-00001050.jpg,orb,2000,2000,72,28,0.3889,0.036,36.9167,0.0609,0.0426,,motion_blur,2,36.41153476601156,0.036
00e9be89-00001050.jpg,00e9be89-00001055.jpg,orb,2000,2000,92,39,0.4239,0.046,35.1957,0.1216,0.0499,,motion_blur,2,35.71639796107979,0.046
00e9be89-00001055.jpg,00e9be89-00001060.jpg,orb,2000,2000,131,67,0.5115,0.0655,35.3053,0.0763,0.0331,,motion_blur,2,35.127120494729766,0.0655
00e9be89-00001060.jpg,00e9be89-00001065.jpg,orb,2000,2000,68,49,0.7206,0.034,36.0147,0.0827,0.0382,,motion_blur,2,34.54814458531928,0.034
00e9be89-00001065.jpg,00e9be89-00001070.jpg,orb,2000,2000,120,99,0.825,0.06,35.0167,0.0736,0.0374,,motion_blur,2,33.36859744832557,0.06
00e9be89-00001070.jpg,00e9be89-00001075.jpg,orb,2000,2000,80,50,0.625,0.04,35.975,0.0775,0.0294,,motion_blur,2,32.040902106729035,0.04
00e9be89-00001075.jpg,00e9be89-00001080.jpg,orb,2000,2000,52,36,0.6923,0.026,34.4808,0.0758,0.0342,,motion_blur,2,33.24207345351638,0.026
00e9be89-00001080.jpg,00e9be89-00001090.jpg,orb,2000,2000,42,24,0.5714,0.021,37.3095,0.074,0.0407,,motion_blur,2,35.55972183498294,0.021
00e9be89-00001090.jpg,00e9be89-00001095.jpg,orb,2000,2000,76,50,0.6579,0.038,32.5132,0.0828,0.0459,,motion_blur,2,34.4158865288207,0.038
00e9be89-00001095.jpg,00e9be89-00001100.jpg,orb,2000,2000,78,52,0.6667,0.039,36.7821,0.0717,0.0328,,motion_blur,2,33.752938085490115,0.039
00e9be89-00001100.jpg,00e9be89-00001105.jpg,orb,2000,2000,27,13,0.4815,0.0135,36.5926,0.0871,0.0364,,motion_blur,2,33.16495104765111,0.0135
00e9be89-00001105.jpg,00e9be89-00001115.jpg,orb,2000,2000,14,7,0.5,0.007,45.2857,0.0717,0.0331,,motion_blur,2,32.06337974360188,0.007
