augmentation,level,class,matched_recall,retention_ratio,mean_iou_matched,snr_db
rain,4,truck,0.19515669515669515,0.2763532763532764,0.8865383482000291,10.524732122679461
rain,5,bus,0.038461538461538464,0.0641025641025641,0.9246379024067151,8.58686617969427
rain,5,car,0.4771753185229407,0.6115930371582975,0.8046113559643607,8.592847609848938
rain,5,truck,0.19017094017094016,0.26282051282051283,0.890765474837088,8.78935974425835
rain,6,bus,0.038461538461538464,0.0641025641025641,0.9323765408822082,7.255200357167387
rain,6,car,0.4673346322778624,0.5948270639250036,0.8081850553677186,7.315825380294404
rain,6,truck,0.19301994301994302,0.26566951566951563,0.8855995766980719,7.621562243136261
rain,7,bus,0.038461538461538464,0.0641025641025641,0.9244045164837684,6.257502886706948
rain,7,car,0.4566201933965386,0.5743727118263442,0.8083624934465212,6.310256850752309
rain,7,truck,0.17735042735042736,0.24358974358974358,0.8800812885596149,6.550560604580692
rain,8,bus,0.02564102564102564,0.05128205128205128,0.9431235426880006,5.508944372426046
rain,8,car,0.4507634221913626,0.5618345913891936,0.8061815089672845,5.499080620288531
rain,8,truck,0.17307692307692307,0.24786324786324787,0.8751684542053192,5.738671581686375
rain,9,bus,0.02564102564102564,0.05128205128205128,0.938571450295107,4.814426298404823
rain,9,car,0.4353998939045156,0.5407411693172596,0.8103944529797782,4.799676238930428
rain,9,truck,0.1517094017094017,0.22008547008547008,0.8857048774826531,4.975595505067725
