image,class,ref_count,cand_count,matched_count,matched_recall,retention_ratio,mean_iou_matched
0d61234a-542010b2.jpg,all,14,5,5,0.35714285714285715,0.35714285714285715,0.8316044404181762
0e442b65-b17e0b50.jpg,car,11,7,7,0.6363636363636364,0.6363636363636364,0.8223204774471222
0e442b65-b17e0b50.jpg,truck,2,0,0,0.0,0.0,
0e442b65-b17e0b50.jpg,all,13,7,7,0.5384615384615384,0.5384615384615384,0.8223204774471222
0e5c7e92-0d9c60f0.jpg,bus,2,0,0,0.0,0.0,
0e5c7e92-0d9c60f0.jpg,car,3,2,0,0.0,0.6666666666666666,
0e5c7e92-0d9c60f0.jpg,all,5,2,0,0.0,0.4,
0f837def-9646c091.jpg,bus,1,0,0,0.0,0.0,
0f837def-9646c091.jpg,car,17,13,8,0.47058823529411764,0.7647058823529411,0.7360434255859342
0f837def-9646c091.jpg,truck,1,0,0,0.0,0.0,
0f837def-9646c091.jpg,all,19,13,8,0.42105263157894735,0.6842105263157895,0.7360434255859342
0fba84f9-73b520ee.jpg,car,43,9,6,0.13953488372093023,0.20930232558139536,0.7613867248935678
0fba84f9-73b520ee.jpg,truck,0,1,0,,,
0fba84f9-73b520ee.jpg,all,43,10,6,0.13953488372093023,0.23255813953488372,0.7613867248935678
101a0964-930eae70.jpg,car,10,5,5,0.5,0.5,0.7334872115167517
101a0964-930eae70.jpg,all,10,5,5,0.5,0.5,0.7334872115167517
10389fe8-433c740c.jpg,car,6,3,2,0.3333333333333333,0.5,0.9097326602383038
10389fe8-433c740c.jpg,all,6,3,2,0.3333333333333333,0.5,0.9097326602383038
10453a95-40759ac3.jpg,bus,1,0,0,0.0,0.0,
10453a95-40759ac3.jpg,car,3,4,2,0.6666666666666666,1.3333333333333333,0.9225439378516578
10453a95-40759ac3.jpg,all,4,4,2,0.5,1.0,0.9225439378516578
1072195f-0a161ade.jpg,car,10,6,5,0.5,0.6,0.874101994335571
1072195f-0a161ade.jpg,all,10,6,5,0.5,0.6,0.874101994335571
1072195f-6cf88b25.jpg,car,16,11,6,0.375,0.6875,0.7852686504315666
1072195f-6cf88b25.jpg,all,16,11,6,0.375,0.6875,0.7852686504315666
11513e3d-150058c3.jpg,car,13,9,7,0.5384615384615384,0.6923076923076923,0.8266365941350221
11513e3d-150058c3.jpg,truck,0,2,0,,,
