img1,img2,method,n_keypoints_img1,n_keypoints_img2,n_good_matches,n_inliers,inlier_ratio,match_ratio,avg_match_distance,detect_time_sec,match_time_sec,visualization_path
00e9be89-00001220.jpg,00e9be89-00001225.jpg,orb,2000,2000,21,7,0.3333,0.0105,43.619,0.025,0.0227,
00e9be89-00001225.jpg,00e9be89-00001230.jpg,orb,2000,2000,19,7,0.3684,0.0095,40.1579,0.0255,0.0227,
00e9be89-00001230.jpg,00e9be89-00001240.jpg,orb,2000,1819,70,56,0.8,0.0385,34.8571,0.0217,0.017,
00e9be89-00001240.jpg,00e9be89-00001245.jpg,orb,1819,2000,27,14,0.5185,0.0148,39.3704,0.0189,0.0217,
00e9be89-00001245.jpg,00e9be89-00001250.jpg,orb,2000,2000,19,5,0.2632,0.0095,45.7895,0.0242,0.0188,
00e9be89-00001250.jpg,00e9be89-00001255.jpg,orb,2000,2000,40,23,0.575,0.02,35.7,0.027,0.0169,
00e9be89-00001255.jpg,00e9be89-00001260.jpg,orb,2000,2000,36,27,0.75,0.018,36.3333,0.0333,0.0207,
00e9be89-00001260.jpg,00e9be89-00001265.jpg,orb,2000,2000,34,20,0.5882,0.017,37.0588,0.0271,0.0199,
00e9be89-00001265.jpg,00e9be89-00001270.jpg,orb,2000,2000,9,4,0.4444,0.0045,48.3333,0.025,0.0217,
00e9be89-00001270.jpg,00e9be89-00001275.jpg,orb,2000,2000,7,7,1.0,0.0035,35.4286,0.0325,0.025,
00e9be89-00001275.jpg,00e9be89-00001280.jpg,orb,2000,2000,9,4,0.4444,0.0045,47.0,0.0395,0.0199,
00e9be89-00001280.jpg,00e9be89-00001285.jpg,orb,2000,2000,12,5,0.4167,0.006,40.25,0.0354,0.0165,
00e9be89-00001285.jpg,00e9be89-00001290.jpg,orb,2000,2000,16,5,0.3125,0.008,45.125,0.0232,0.0274,
00e9be89-00001290.jpg,00e9be89-00001295.jpg,orb,2000,2000,14,5,0.3571,0.007,43.3571,0.0272,0.0214,
