image,augmentation,level,snr_db,ref_count,cand_count,matched_count,matched_recall,retention_ratio,mean_iou_matched
0bcbc8fe-5a52a282.jpg,motion_blur,1,35.67440468054715,4,4,4,1.0,1.0,0.9464538067479243
0bcc752f-fd302777.jpg,motion_blur,1,29.689107501002162,4,4,4,1.0,1.0,0.9760554209430498
0bce68c1-629ddf0d.jpg,motion_blur,1,27.87285419414743,5,5,5,1.0,1.0,0.9866055432367992
0bcfa351-0509fab2.jpg,motion_blur,1,36.78070121425377,18,17,17,0.9444444444444444,0.9444444444444444,0.9829607688769033
0bd530d6-76c944fe.jpg,motion_blur,1,35.768049394667294,4,4,4,1.0,1.0,0.9802672687220885
0bdc8f31-81eab212.jpg,motion_blur,1,34.8731515618426,7,7,7,1.0,1.0,0.9723974459247867
0be031c3-81b6e5b7.jpg,motion_blur,1,33.339064650766986,12,12,12,1.0,1.0,0.9751355431841748
0be36567-bee11e9c.jpg,motion_blur,1,28.261831415031445,2,2,2,1.0,1.0,0.9785162057686589
0bef9055-6069aeb8.jpg,motion_blur,1,32.51800383444349,5,5,5,1.0,1.0,0.9943250529435227
0bf18a00-e8c3335e.jpg,motion_blur,1,29.64417421669936,1,2,1,1.0,2.0,0.9310344827586207
0bf28365-020515e2.jpg,motion_blur,1,33.437025625159606,5,6,5,1.0,1.2,0.9434157973021385
0bf7162a-00000000.jpg,motion_blur,1,30.18837017738708,10,11,10,1.0,1.1,0.9762792618467087
0bf8851e-e3f546bb.jpg,motion_blur,1,28.9343928186104,10,10,10,1.0,1.0,0.9523105303696605
0bf8851e-e3f5b31d.jpg,motion_blur,1,30.69583073657427,10,10,10,1.0,1.0,0.9785764934860994
0c04d29a-6bf85baf.jpg,motion_blur,1,26.48613621705659,8,8,7,0.875,1.0,0.986299916035503
0c07e51c-fb369fc9.jpg,motion_blur,1,29.652559673226804,7,5,5,0.7142857142857143,0.7142857142857143,0.9901361870383549
0c0bba65-b7286c22.jpg,motion_blur,1,27.52045555254334,5,5,5,1.0,1.0,0.9733217135205698
0c113798-00000000.jpg,motion_blur,1,33.027750155438795,10,10,10,1.0,1.0,0.9761989810472255
0c140522-190b25a3.jpg,motion_blur,1,37.892697150102194,2,2,2,1.0,1.0,0.9573283858998145
0c140522-227e6f11.jpg,motion_blur,1,39.900195696198544,6,6,6,1.0,1.0,0.9726596809415167
0c154337-09dd2a21.jpg,motion_blur,1,30.600444472900325,4,4,4,1.0,1.0,0.9851884604154382
0c155cdd-00000000.jpg,motion_blur,1,32.00541815960728,1,1,1,1.0,1.0,0.98
