img1,img2,method,n_keypoints_img1,n_keypoints_img2,n_good_matches,n_inliers,inlier_ratio,match_ratio,avg_match_distance,detect_time_sec,match_time_sec,visualization_path,augmentation,level,snr_db
00e9be89-00001175.jpg,00e9be89-00001180.jpg,orb,2000,2000,93,55,0.5914,0.0465,38.1828,0.0146,0.0037,,motion_blur,1,37.20908622582529
00e9be89-00001180.jpg,00e9be89-00001185.jpg,orb,2000,2000,44,21,0.4773,0.022,38.6818,0.0149,0.0044,,motion_blur,1,36.188056118592414
00e9be89-00001185.jpg,00e9be89-00001190.jpg,orb,2000,2000,21,8,0.381,0.0105,41.619,0.0152,0.0038,,motion_blur,1,35.235162298507845
00e9be89-00001190.jpg,00e9be89-00001195.jpg,orb,2000,2000,18,9,0.5,0.009,41.2778,0.0155,0.0039,,motion_blur,1,33.50160792462832
00e9be89-00001195.jpg,00e9be89-00001200.jpg,orb,2000,1989,28,9,0.3214,0.0141,39.1071,0.014,0.0036,,motion_blur,1,36.14840030362143
00e9be89-00001200.jpg,00e9be89-00001205.jpg,orb,1989,1851,37,15,0.4054,0.02,37.7027,0.0126,0.0035,,motion_blur,1,42.925055882022846
00e9be89-00001205.jpg,00e9be89-00001210.jpg,orb,1851,2000,19,5,0.2632,0.0103,41.2105,0.0126,0.0034,,motion_blur,1,43.59796196178517
00e9be89-00001210.jpg,00e9be89-00001215.jpg,orb,2000,2000,38,17,0.4474,0.019,38.5,0.013,0.0039,,motion_blur,1,40.903548049426846
00e9be89-00001215.jpg,00e9be89-00001220.jpg,orb,2000,2000,14,6,0.4286,0.007,43.4286,0.0144,0.0038,,motion_blur,1,36.02140625025132
00e9be89-00001220.jpg,00e9be89-00001225.jpg,orb,2000,2000,24,7,0.2917,0.012,45.4167,0.0152,0.0036,,motion_blur,1,34.79686142413934
00e9be89-00001225.jpg,00e9be89-00001230.jpg,orb,2000,2000,19,6,0.3158,0.0095,41.5789,0.0145,0.0041,,motion_blur,1,37.856053693227906
00e9be89-00001230.jpg,00e9be89-00001240.jpg,orb,2000,1658,50,32,0.64,0.0302,35.74,0.0134,0.0034,,motion_blur,1,40.37542318133893
00e9be89-00001240.jpg,00e9be89-00001245.jpg,orb,1658,2000,25,13,0.52,0.0151,38.68,0.0134,0.0034,,motion_blur,1,38.56611417533655
00e9be89-00001245.jpg,00e9be89-00001250.jpg,orb,2000,2000,25,9,0.36,0.0125,44.6,0.0139,0.0037,,motion_blur,1,36.33051992587045
00e9be89-00001250.jpg,00e9be89-00001255.jpg,orb,2000,2000,38,20,0.5263,0.019,34.6053,0.0145,0.0045,,motion_blur,1,37.527812347020074
00e9be89-00001255.jpg,00e9be89-00001260.jpg,orb,2000,2000,40,30,0.75,0.02,35.225,0.0159,0.0044,,motion_blur,1,36.032222680220656
00e9be89-00001260.jpg,00e9be89-00001265.jpg,orb,2000,2000,35,25,0.7143,0.0175,35.1143,0.0159,0.0053,,motion_blur,1,34.22407903596272
00e9be89-00001265.jpg,00e9be89-00001270.jpg,orb,2000,2000,9,4,0.4444,0.0045,46.5556,0.0152,0.0113,,motion_blur,1,32.139818545220194
00e9be89-00001270.jpg,00e9be89-00001275.jpg,orb,2000,2000,14,7,0.5,0.007,40.4286,0.0164,0.0036,,motion_blur,1,31.50153195966538
00e9be89-00001275.jpg,00e9be89-00001280.jpg,orb,2000,2000,9,5,0.5556,0.0045,48.5556,0.0183,0.0044,,motion_blur,1,30.009832679735606
